순번,순위,전일대비_순위증감,신규진입여부,movieCd,영화제목,개봉일,매출액,당일매출비율,전일대비_매출증감,전일대비_매출액_증감비율,누적매출액,당일관객수,전일대비_관객증감,전일대비_관객증감비율,누적관객수,당일스크린수,showCnt,targetDt
6,6,-1,OLD,20259781,토이 스토리 5,2026-06-17,100129740,0.8,-1910980,-1.9,29836223200,9940,-440,-4.2,2900656,367,455,2026-08-01
7,7,-1,OLD,20262902,다윗,2026-07-10,85172890,0.7,25748890,43.3,2469146810,8795,2523,40.2,253432,253,285,2026-08-01
8,8,-1,OLD,20264148,어떻게 해야 했을까?,2026-07-29,64192100,0.5,18523400,40.6,186868020,6224,1873,43.0,18574,67,110,2026-08-01
9,9,-1,OLD,20242402,눈동자,2026-06-24,28515200,0.2,3039850,11.9,15836622200,2646,271,11.4,1535035,160,187,2026-08-01
10,10,-1,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,12517310,0.1,-5375960,-30.0,362580450,1365,-578,-29.7,40585,130,134,2026-08-01
1,1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,8780346600,80.9,-916966210,-9.5,35862975550,826335,-75245,-8.3,3388325,2382,9784,2026-08-02
2,2,0,OLD,20233219,호프,2026-07-15,1200387570,11.1,-202913330,-14.5,44278367250,117897,-18520,-13.6,4110552,965,2620,2026-08-02
3,3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,218413190,2.0,6972680,3.3,7153777290,23030,857,3.9,713942,716,1089,2026-08-02
4,4,0,OLD,20259946,모아나,2026-07-08,124099400,1.1,-34450,0.0,10626789530,12763,34,0.3,999949,452,580,2026-08-02
5,5,1,OLD,20259781,토이 스토리 5,2026-06-17,115375580,1.1,15245840,15.2,29951598780,11554,1614,16.2,2912210,375,472,2026-08-02
6,6,-1,OLD,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,125351720,1.2,-2633880,-2.1,307039320,10305,-376,-3.5,26494,75,85,2026-08-02
7,7,0,OLD,20262902,다윗,2026-07-10,94622950,0.9,9450060,11.1,2563769760,9917,1122,12.8,263349,243,276,2026-08-02
8,8,0,OLD,20264148,어떻게 해야 했을까?,2026-07-29,56577800,0.5,-7614300,-11.9,243445820,5434,-790,-12.7,24008,63,107,2026-08-02
9,9,0,OLD,20242402,눈동자,2026-06-24,25051300,0.2,-3463900,-12.1,15861673500,2341,-305,-11.5,1537376,151,176,2026-08-02
10,10,0,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,12786500,0.1,269190,2.2,375366950,1411,46,3.4,41996,126,130,2026-08-02
1,1,0,OLD,20262770,스파이더맨: 브랜드 뉴 데이,2026-07-29,4174462150,80.5,-4605884450,-52.5,40037437700,401780,-424555,-51.4,3790105,2178,8774,2026-08-03
2,2,0,OLD,20233219,호프,2026-07-15,618271300,11.9,-582116270,-48.5,44896638550,63927,-53970,-45.8,4174479,901,2658,2026-08-03
3,3,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,113041800,2.2,-105371390,-48.2,7266819090,12454,-10576,-45.9,726396,672,1050,2026-08-03
